,label,desc
36086,ezogelin soup,Turkish soup
36087,side dish,serving of food accompanying the main course
36088,usal,Maharastrian dish
36090,rice fries,side dish offered at Sus Hi Eatstation
36091,garnish,food item that accompanies the entrée or main course at a meal
36092,emping,Indonesian traditional chips made of melinjo (Gnetum gnemon)
36093,french fries,deep-fried potatoes
36094,sauerkraut,cabbage that has been fermented by various lactic acid bacteria
36095,choucroute,Alsacian sauerkraut
36098,rösti,potato dish
36099,banchan,Korean small dishes
36100,bokkeum,Korean stir-fry
36101,jeyuk bokkeum,Korean meat dish
36102,tteokbokki,South Korean dish made from rice and flour cakes
36103,cheese tteokbokki,Korean snack food
36105,sundae bokkeum,Korean dish
36106,gyeran mari,Korean side dish
36107,chakalaka,South African vegetable relish
36108,okazu,Japanese food side dish
36110,obanzai,a traditional style of Japanese cuisine
36111,rendang,Indonesian spicy meat dish originating from Minangkabau Highlands in West Sumatra
36112,peperonata,Italian side dish
36113,djenkoume,Togolese tomato cornmeal fritters
36114,sweet potato pie,traditional side dish in the southern United States
36115,loubia,Moroccan stewed beans
36116,fagioli alluccelletto,Italian dish
36117,pinzimonio,Italian dish
36118,taròz,Italian dish
36119,bollit,Valencian stew
36120,mexican rice,rice dish with spices and red color from tomatoes
36121,patatas a lo pobre,Andalusian potato dish
36122,setas al ajillo,Spanish side dish
36123,yuca con chicharrón,Honduran dish
36124,zaalouk,Moroccan dish
36125,kaalan,kerala dish
36126,pirão,Brazilian side dish
36127,brunkål,Swedish cabbage dish
36128,brenebon,Indonesian traditional soup
36129,burasa,Indonesian rice dumpling originally from Sulawesi
36130,dangke,Indonesian traditional cheese
36131,lema,A fermented bamboo shoot dish
36132,sambal goreng,Indonesian dish
36133,cactus fries,Southwestern United States side dish
36134,orez shuit,Israeli bean and tomato dish
36135,buttermilk curry,A curry made with buttermilk and vegitables
36136,fondant potatoes,"also known as pommes fondant, a method of preparing potatoes"
36137,sabzi khordan,Dish made from raw vegetables and herbs
36140,rendang lokan,Indonesian food
36141,laoka,Malagasy side dishes served with rice
36142,peperone crusco,Variety of dry pepper typical of Lucanian cuisine
36143,terasi bawang,traditional dish in Indonesia
36144,tata foo,Type of chili sauce mixed with chopped mango
36145,makalo,North Macedonian side dish
36146,coppetta,Italian sweet
36147,nanjing salted duck,Chinese duck dish
36149,frascarelli,Italian dish
36151,carcamusa,traditional Spanish dish
36153,stuffed pasta,food that consists of a thin layer of dough wrapped around a filling
36154,carne pizzaiola,Italian meat dish
36157,sartù di riso,typical dish of Naples
36158,sciatt,fritters dish from Valtellina
36159,sopa coàda,Italian dish
36160,spiedo bresciano,Italian barbeque dish
36161,banusz,Ukrainian Dish
36165,karedok,Indonesian salad dish
36166,urap,Indonesian salad recipe
36167,mie aceh,Indonesian curried spicy noodle dish
36168,jeok,skewered food in Korean cuisine
36169,sanjeok,beef and vegetable skewers
36170,sojeok,tofu or vegetable skewers
36171,nureum jeok,egg-washed and pan-fried skewers
36172,komanmelna,variety of pancakes
36173,kuyrdak,Central Asian meat dish
36174,levengi,Azerbaijani dish
36175,makarony po flotski,Russian dish of pasta and ground meat
36180,khrenovina,sauce
36181,shelpek,"kazakh flatbread, using butter, milk and sugar"
36182,a gei,Taiwanese dish
36183,head cheese,cold cut non-dairy meat jelly or terrine
36184,akuri,Persian and Indian Parsi dish of scrambled eggs with mint or coriander and turmeric
36185,ambelopoulia,Traditional Greek Cypriot dish
36186,ambuyat,traditional Brunei and Sarawak dish
36187,apple crisp,dessert
36188,aranygaluska,traditional Hungarian dessert
36190,ashak,Afghan dish
36191,baleada,traditional Honduran dish
36192,boiled beef,traditional English dish
36193,bouillon,Haitian soup
36194,bread bowl,filled bread dish
36195,brown windsor soup,British soup
36196,bunny chow,South African dish consisting of a hollowed-out loaf of white bread filled with curry
36197,kelle,Turkish dish made of head meat (generally sheep)
36198,cabeça de galo,Brazilian dish
36199,cantonese seafood soup,cantonese cuisine dish
36200,casunziei,type of stuffed pasta
36201,cauliflower cheese,British dish based on cauliflower
36202,charchari,type of dish in Bengali cuisine
36203,jhinge posto chorchori,bengali cuisine
36204,danta chorchori,bengali cuisine
36205,dhenros chorchori,bengali cuisine
36206,begun chorchori,bengali cuisine
36207,potol alu chorchori,bengali cuisine
36208,sojne dantar chorchori,bengali cuisine
36209,mourola macher bati chorchori,bengali cuisine
36210,bhetki machher kanta chorchori,bengali cuisine
36211,bori diye thor chorchori,bengali cuisine
36212,kumro shaker chorchori,bengali cuisine
36213,pui shaker chorchori,bengali cuisine
36214,polta chorchori,bengali cuisine
36215,gima shaker chorchori,bengali cuisine
36216,lau shak chorchori,bengali cuisine
36217,mourala machher charchari,bengali cuisine
36218,katoya data chorchori,bengali cuisine
36219,alu potol bori bati chorchori,bengali cuisine
36220,tangra machher chorchori,bengali cuisine
36221,hing chorchori,bengali cuisine
36222,mete chorchori,bengali cuisine
36223,fulkopir dantar chorchori,bengali cuisine
36224,machher tel er chorchori,bengali cuisine
36225,chhoto bele machher chorchori,bengali cuisine
36226,oler dantar chorchori,bengali cuisine
36227,motor shaker charchari,bengali cuisine
36228,kolmi shaaker chorchori,bengali cuisine
36229,gugli chorchori,bengali cuisine
36230,bori diye kumro dantar chorchori,bengali cuisine
36231,rui machher matha diye note dantar chorchori,bengali cuisine
36232,macher tel diye lal note shaager chorchori,bengali cuisine
36233,punti machher bati chorchori,bengali cuisine
36234,chela machher chorchori,bengali cuisine
36235,mola machher chorchori,bengali cuisine
36236,darkina machher chorchori,bengali cuisine
36237,chanda machher chorchori,bengali cuisine
36238,kajoli machher chorchori,bengali cuisine
36239,kachki machher jhal chorchori,bengali cuisine
36240,chapila machher chorchori,bengali cuisine
36241,amudi machher chorchori,bengali cuisine
36242,gule machher jhal chorchori,bengali cuisine
36243,bata machher chorchori,bengali cuisine
36244,topse begun chorchori,bengali cuisine
36245,ilish machher matha diye pui shaker chorchori,bengali cuisine
36246,gang mourala machher chorchori,bengali cuisine
36250,chhota haazri,"Indian phrase — ""little breakfast"""
36251,chin chin,"snack in Nigeria made from basic combination of flour, milk and sugar"
36252,chinese pancake,wheat flour-based Chinese food with a flattened or disk-like shape
36253,coconut rice,coconut-flavoured rice
36254,corn on the cob,food
36255,roasted bhutta,roasted corn on the cob
36256,coo coo,caribbean dish of cornmeal and okra
36257,crisp,type of dessert food
36258,david eyres pancake,dish
36259,sausage bun,type of pastry
36260,dhebra,Gujarati bread made of pearl millet flour
36261,docang,Indonesian traditional dish
36262,doupi,"breakfast dish from Wuhan, China"
36263,eetch,Armenian side dish
36264,hokkien fried rice,Hong Kong fried rice dish
36265,engagement chicken,American dish rumored to lead to marriage
36266,potage,food
36267,potaje de vigilia,easter plate
36270,puchero de hinojos,"Cooked white beans or chickpeas with fennel, traditional in some areas of Andalusia, Spain"
36273,velouté,soup
36276,frejon,coconut bean soup
36277,fried plantain,cooked dish made from plantains
36278,frita,Cuban hamburger
36279,garnacha,Mesoamerican dish
36280,ghari,"sweet dish from Gujarati cuisine, from Surat, India"
36281,ginger beef,canadian-Chinese dish
36282,gobhi paratha,Cauliflower Flatbread
36283,gobi manchurian,deep fried cauliflower dish in Indo-Chinese cuisine
36284,tortilla soup,traditional Mexican soup
36285,albóndigas de bacalao,Spanish cod meatballs
36292,bissara,soup
36293,chifrijo,Costa Rican dish
36296,christmas food,food that is served during Christmas
36297,sweetened potato casserole,Finnish dish
36298,christmas sweet,Christmas themed confections
36300,red borscht with mini pierogies,Polish Christmas Eve soup
36302,christmas beverage,drink that is consumed during Christmas
36304,mexican rice,rice dish with spices and red color from tomatoes
36305,seafood platter,French seafood dish
36306,ıslama köfte,Turkish kofte (köfte) variant
36307,toyga soup,traditional yoghurt soup from Turkey
36309,flaouna,Cypriot Easter food
36310,yayla çorbası,"soup from the cuisine of Turkey, known as ""Yayla çorbası"" in Turkish"
36311,ankara tava,Turkish cuisine dish
36314,picante a la tacneña,Peruvian offal dish
36315,isaw,street food from the Philippines
36316,porotos con riendas,Chilean dish
36317,arabaşı soup,a traditional soup in Turkish cuisine
36318,riñones al jerez,Spanish dish
36319,seco,Peruvian meat stew
36320,lihapiirakka,Finnish savory pie filled with ground meat and cooked rice
36322,katův šleh,traditional Czech dish
36323,achappam,deep fried cookie made with rice flour
36324,yahni,broth or stew
36325,khash,type of food
36326,cabbage roll,dish of cabbage leaves with a filling
36327,lia,prepared food
36328,entrée,dish served before the main course of a meal; either the first dish or following a soup or other small dish or dishes
36329,tororo kombu,Ultrafine thread kelp
36330,braised shaak roast,entrée served at Docking Bay 7 Food and Cargo
36331,smoked kaadu ribs,entrée served at Docking Bay 7 Food and Cargo
36332,party in my mouth,entrée offered at Sus Hi Eatstation
36333,sausage mcmuffin with egg,breakfast entrée at McDonald's
36334,deviled egg,egg-based dish
36335,fricasse,potato dish
36336,sigara böreği,"fried ""börek"" from the Turkish cuisine shaped like a cigar or cigarette"
36337,ocopa,Peruvian food dish
36342,lomi,type of noodle soup
36343,lountza,Cypriot meat delicacy
36344,maniçoba,Brazilian pork dish
36345,mianwo,Chinese donut
36347,pölsa,"traditional Swedish dish made from finely ground meat, traditionally leftover meat"
36348,ngo hiang,Hokkien and Teochew dish
36352,pagliata,Italian dish from Rome
36353,pamplona,dish
36354,panaculty,Beef casserole dish from North England
36355,pato no tucupi,Brazilian duck dish
36357,pork knuckles and ginger stew,Cantonese dish
36360,iahnie,Romanian bean stew
36361,shaguo,Chinese clay pots and dishes
36363,ayam pansuh,Indonesian and Malaysian chicken dish
36364,daen semur,Bajau traditional cuisine
36365,rosvopaisti,type of roast meat
36366,salmon tartare,raw fish dish
36367,sarburma,Crimean Tatar meat pie
36368,tahu gejrot,Indonesian fried tofu dish
36369,soup joumou,Haitian soup made from Caribbean pumpkin
36370,spiced beef,form of salt beef
36371,stonner kebab,"pork sausage wrapped in strips of döner meat, coated in two layers of batter, and then deep fried, served on a bed of chips"
36372,swede casserole,Finnish Christmas casserole dish
36373,topik,"chickpea-based meze dish belonging to the cuisine of Istanbul, contribution of Turkish Armenians"
36374,wuhan duck,Chinese dish
36375,arroz a la cazuela,Spanish rice dish
36377,buchada de bode,typical dish of Brazilian Northeast cuisine
36378,callos a la madrileña,Spanish dish
36379,feijão tropeiro,Brazilian dish
36380,mandazi,a form of fried bread that originated on the Swahili Coast.
36382,montadito,Spanish open-faced sandwich
36383,combination meal,type of meal that typically includes food items and a beverage
36384,soup and sandwich,combo meal
36390,greek style fish,Polish Christmas dish
36391,apple cheese,traditional Lithuanian dessert
36394,red borscht with mini pierogies,Polish Christmas Eve soup
36395,minced food ball,"meat, fish, or vegetable balls"
36396,bakso,Tionghoa cuisine
36397,pitina,Italian goat meat salume
36398,mondeghili,Italian fried meatball
36399,polpetta,"Italian meat, fish, or vegetable balls"
36400,falafel,Middle Eastern fried bean dish
36401,fish ball,Fish dishes
36402,meatball,dish made from ground meat rolled into a small ball-like form
36403,sixi balls,family of meatball or meatloaf dishes
36406,acaçá,maize dish in Brazil
36407,achar,Indo-Portuguese dish
36408,arroz gordo,Macanese rice dish
36409,bijajica,Brazilian cassava cookies
36411,canja de goa,Indo-Portuguese soup
36415,cheque cheque,type of Indo-Portuguese food
36416,cuxá,dish of the Maranhão cuisine
36420,brazilian feijoada,traditional Brazilian bean-based stew
36421,filé à osvaldo aranha,"traditional Brazilian dish consisting of a beefsteak that's topped with large amounts of fried garlic and served with white rice, crunchy potato chips, and farofa on the side"
36428,summer soup,Finnish traditional soup
36440,kasha,type of porridge
36441,millet porridge,type of porridge
36445,calulu,"dish from Lusophone Africa with fish, chicken, palm oil and vegetables."
36449,potato dish,type of food based on potatoes
36450,french fries,deep-fried potatoes
36451,potato salad,dish made from boiled potatoes
36452,potato chip,deep-fried or baked thin slice of potato
36453,älplermagronen,dish from the Swiss Alps
36454,papa a la hancaina,"Peruvian appetizer of boiled yellow potatoes in a spicy, creamy sauce"
36455,bubble and squeak,"British breakfast dish made with the shallow-fried leftover vegetables (cabbage, carrots, peas, Brussels sprouts, etc.), mashed potatoes, and sometimes cold chopped meat"
36456,canarian wrinkly potatoes,Canarian potatoes
36457,fricasse,potato dish
36458,bryndzové halušky,traditional Slovak dish
36459,maluns,traditional potato dish in Switzerland and Austria
36460,panipuri,Indian snack
36461,bangers and mash,British meal of sausages and mashed potato
36462,roigebrageldi,"culinary specialty of Alsace (France) consisting of potatoes, bacon, onions, butter, and white wine"
36467,lokša,type of potato pancake
36468,emaičių blynai,Lithuanian potato and meat dish
36469,alu bhaja,fried potato
36470,bombay potato,potato dish
36471,pipes and potatoes,Gujarati potato dish
36473,szilvásgombóc,Plum dumplings
36474,marillenknödel,food
36477,alu kopta,bengali cuisine
36478,alu uchchher kopta,bengali cuisine
36558,lyonnaise potatoes,French dish of sliced pan-fried potatoes and thinly sliced onions sautéed in butter with parsley.
36559,pâté aux pommes de terre,French dish
36561,irish potato candy,"candy from Philadelphia, USA"
36562,himmel und erde,traditional German dish with potatoes and mashed apples
36563,potato pancake,fried pancakes of grated or ground potato
36564,dibbelabbes,German hash
36565,pellkartoffeln,potato dish
36566,kroppkaka,Swedish potato dumpling
36567,fish and chips,hot dish of fried fish and fried potato
36568,raspeball,potato dish
36569,thüringer klöße,potato dish
36571,mohnnudel,potato dish
36572,eintopf,traditional German pot-stew
36573,spanish omelette,"egg, potato and onion dish"
36574,thüringer klöße,potato dish
36575,pickert,potato dish
36576,mashed potato,potato dish
36577,poutine,"dish of french fries, cheese curds and gravy"
36578,ajiaco,South American soup
36579,cepelinai,Lithuanian potato dish
36580,aloo gobi,Indian curry dish with cauliflower and potatoes
36581,quarkkäulchen,potato dish
36582,kartoffelwurst,potato dish
36583,chorrillana,Peruvian food
36584,schupfnudel,Central European recipe
36585,bauernfrühstück,potato dish
36586,kartoffelkäse,potato dish
36587,funeral potatoes,potato dish
36588,home fries,"potato dish made by pan- or skillet-frying chunked, sliced, wedged or diced potatoes"
36589,potato soup,potato dish
36590,lángos,Hungarian snack
36591,kapsalon,Dutch fast food dish named after a hair salon
36592,karelian pasty,traditional pasties from Karelia
36593,rösti,potato dish
36594,waterzooi,Traditional Belgian stew
36595,shoestring potatoes,potato dish
36596,tiroler gröstl,potato dish
36597,papet vaudois,potato dish
36598,roasted sweet potatoes,popular street food in East Asia
36600,nikujaga,"Japanese dish of meat, potatoes, and onions stewed in dashi, soy sauce, mirin, and sugar"
36601,suquet de peix,Catalan seafood potato stew
36602,rioja style potatoes,Spanish potato dish
36604,baeckeoffe,traditional Alsatian dish
36605,gamja jeon,potato dish
36606,potato bread,bread made with potato and flour
36608,lefse,Norwegian flatbread
36609,pastéis de bacalhau,potato dish
36612,rassolnik,soup made from pickled cucumbers and other ingredients
36613,crocchè,potato dish
36614,colcannon,traditional Irish dish
36615,duchess potatoes,dish
36616,kopytka,potato dish
36617,baked potato,potato dish
36618,korokke,Japanese potato dish
36619,janssons frestelse,potato dish
36620,moules frites,dish of mussels and fries
36622,döppekooche,potato dish
36623,vichyssoise,"chilled soup made of leeks, potatoes, and cream"
36624,rumbledethumps,potato dish
36625,gefillde,potato dish
36628,latke,Jewish potato pancake dish
36629,krupnik,"thick Eastern European soup made from vegetable or meat broth, containing potatoes and grain"
36630,getzen,potato dish
36631,hoorische,German potato dumpling
36632,halušky,"thick, soft noodles or dumplings in various Central and Eastern European cuisines"
36633,pyttipanna,potato dish
36634,parsley potatoes,potato dish
36635,stovies,potato dish
36636,kugel,A traditional Ashkenazi Jewish casserole
36637,gratin dauphinois,French dish
36639,kugelis,Lithuanian potato dish
36640,hutspot,boiled vegetable dish associated with Dutch cuisine
36641,pie and mash,"traditional London working-class food consisting of a minced beef pie, mashed potato and parsley sauce"
36642,hash browns,dish
36645,skordalia,potato-based dish
36646,tartiflette,French baked potato dish
36647,pommes anna,Layered potato casserole
36648,frico,Italian food known as a cheese crisp in English
36649,sunday roast,traditional meal associated with Great Britain
36650,paprikás krumpli,Hungarian stew
36652,pyzy,potato dish
36653,racuchy,Polish sweet dish
36654,potato waffle,Mashed potato in grill shape
36655,salt potatoes,"dish from Syracuse, New York, consisting of potatoes boiled in brine"
36657,shepherds pie,meat pie with a crust or topping of mashed potato
36660,knish,Ashkenazi Jewish baked or fried snack food consisting of a filling covered with dough
36661,patatas bravas,potato dish native to Spain
36662,potato babka,savoury Belarusian and Polish dish made from potato
36663,mitraillette,Belgian snack bar dish
36664,boxty,traditional Irish potato pancake
36665,papa rellena,traditional dish in Peruvian cuisine
36666,chip butty,sandwich made with French fries
36667,navarin,French lamb or mutton stew
36668,bonda,Indian Food
36669,hachis parmentier,French variant of shepherd's pie
36670,aloo gosht,Curry with meat and potatoes
36671,aloo paratha,"a type of bread, consist of unleavened dough stuffed with a spiced mixture of mashed potato"
36672,aloo mutter,North Indian dish
36673,aloo pie,Trinidadian fast food dish
36675,patatas a la importancia,potatoes breaded with flour and egg
36677,milcao,Chilean potato pancake
36678,charquicán,stew consumed in the Andean region
36679,batata vada,"Indian vegetarian fast food in Maharashtra, India"
36680,batata harra,Lebanese vegetable dish
36681,potato doughnut,sweet potato-based treat
36683,causa a la limeña,Peruvian dish
36684,champ,Irish dish
36685,chochoca,Chilean dish
36686,chupe,variety of stew
36688,coddle,"stew made from boiled sausages, traditional in Dublin"
36689,crique,French potato dish
36690,crisp sandwich,sandwich that includes potato chips (crisps) as one of the fillings
36692,curanto,typical food in Chilean gastronomy based on seafood
36693,dum aloo,potato dish
36694,pommes soufflées,dish
36695,patatnik,Bulgarian potato dish
36696,potato scone,Scottish potato dish
36697,empadão,Portuguese traditional dish
36700,farcidure,French savory tart
36702,tatws pum munud,"Welsh stew with smoked bacon, stock, potatoes and other vegetables"
36703,truffade,French dish made of potatoes and cheese
36704,gamja ongsimi,Korean dough soup
36706,salchipapa,fast food from Sur América
36707,tombet,vegetable dish from Majorca
36708,llapingacho,Ecuadorian fried potato pancake
36711,mince and tatties,Scottish dish made from beef and potato
36713,morcilla patatera,Spanish blood sausage
36715,rewena bread,Type of sourdough bread from New Zealand
36719,pommes dauphine,dish
36721,potato skins,potato dish
36722,poutine râpée,traditional Acadian dumpling dish
36724,pâté chinois,French Canadian dish
36731,potato wedges,prepared food
36732,tater tots,"trademarked Ore-Ida product, cylindrical pieces of deep-fried grated potatoes, the first tater tots  made using  holey board"
36737,woolton pie,vegetable pie
36739,trinxat,resembles bubble and squeak
36740,potatiskorv,Swedish sausage
36742,silesian dumplings,traditional Silesian potato dumplings
36743,panada,bread soup
36747,lancashire hotpot,"English stew from Lancashire, England"
36748,bomba toledana,"Typical tapas from Toledo,  Spain"
36749,bacalhau à gomes de sá,"typical fish from Porto, Portugal"
36750,black noodles,Silesian noodle dish
36751,chapalele,dough made from boiled potatoes and wheat flour
36752,kalduny,type of dumplings in Balto-Slavic cuisines
36753,egg and chips,popular dish in the United Kingdom
36754,fried potatoes,potato dish
36755,german fries,preparation of fries
36758,patatas a lo pobre,Andalusian potato dish
36760,spettekaka,"cone-shaped cake mostly associated with the southernmost region of Sweden, Scania"
36761,pitepalt,"Swedish meat-filled dumpling made from raw grated potatoes, barley flour, and/or wheat flour. boiled in salted water and served with lingonberries and butter"
36762,munini imo,Pancake made with fermented potato flour
36763,lompe,Norwegian flat potato bread
36764,santula,vegetable dish from Odisha
36765,stargazy pie,Cornish dish made of baked fish
36766,szałot,"salad from Silesia, Poland"
36767,kulajda,Bohemian cuisine soup
36775,zalewajka,soup made of potatoes and sour rye
36781,polvo à lagareiro,Portuguese octopus dish
36782,hasselback potatoes,Swedish potato dish
36785,daigaku imo,Japanese fried and candied sweet potatoes
36799,praonki,Cuisine in Poland
36802,pyry z gzikiem,Polish potato and cheese dish
36803,ruthenian pierogi,"dumplings filled with curd, boiled potatoes and onions"
36804,hoppelpoppel,potato and egg casserole
36805,potato gnocchi,Italian potato dumplings
36806,kumpir,Turkish baked potato dish
36807,palt,Swedish meat-filled potato dumpling
36808,pitepalt,"Swedish meat-filled dumpling made from raw grated potatoes, barley flour, and/or wheat flour. boiled in salted water and served with lingonberries and butter"
36814,pyzy,potato dish
36819,german fries,preparation of fries
36821,patates antinahtes,tossed potatoes dish of Cypriot cuisine
36822,psefkia,Cypriot croquette
36823,spice bag,Irish fast food item
36824,tornado potato,popular street food in South Korea
36828,goroke,Korean style Croquette
36829,aloor chop,snack originating from the Indian subcontinent
36830,pipes and potatoes,Gujarati potato dish
36832,julienke,Belgian snack bar dish
36837,korv stroganoff,Swedish version of beef Stroganoff
36843,easter food,food associated with Christian holiday
36844,easter bread,bread traditionally eaten around Easter
36846,pastiera,Neapolitan tart
36847,mazurek,traditional Polish Easter cake
36848,mämmi,Finnish Easter dessert
36849,easter cake,Wikimedia disambiguation page
36850,chocolate easter bunny,rabbit-shaped chocolate confectionery eaten at Easter
36852,tuttul,dish on flatbread
36853,bún đu mm tôm,Vietnamese dish
36854,smulpaj,Swedish dessert
36855,turnover,pastry with a filling on a single piece of dough which has been folded over and sealed
36856,tanukijiru,Japanese vegetarian soup
36860,double skin milk,Cantonese dessert
36866,yanpi,type of Chinese wonton skin
36868,tête de veau,Limburger dish
36871,yuxiang qiezi,eggplant dish
36872,yuxiangrousi,dish
36879,kenchinjiru,Japanese soup
36881,bukkake udon,Japanese dish
36884,taipien,"Chinese-Japanese noodle soup from Kumamoto, Japan"
36885,kobujime,Japanese cooking technique
36886,kuri kinton osechi,candied chestnuts with sweet potatoes
36887,seafood dish,type of dish comprised of seafood
36888,sesame tofu,tofu-like food made from sesame seeds and kudzu starch
36890,buckwheat flour,type of flour
36891,suancaiyu,dish
36892,arròs al forn,Rice dish made in the oven
36899,pierogi leniwe,Polish dumplings
36901,pirozhki,fried/baked filled bun common in Russian cuisine
36902,vatrushka,type of pastry
36903,lihapiirakka,Finnish savory pie filled with ground meat and cooked rice
36904,bun nem,specialty dish of Hanoi
36905,juhannusjuusto,Finnish cheese dish
36913,freginat,Meat dish from France and Spain
36916,pasta alla gricia,pasta dish of Roman origins
36919,risotto,Italian rice dish
36920,risotto rice,rice used to prepare a risotto dish
36921,panissa,Italian dish of risotto and beans
36928,pasta alla norma,pasta dish
36929,carbonara,pasta dish
36930,botvinia,chilled beet soup of Russian origin
36931,spaghetti alla puttanesca,"Neapolitan pasta dish with tomatoes, olive oil, olives, capers, garlic (and sometimes anchovies)"
36935,cacio e pepe,Italian pasta dish
36936,pasta al pomodoro,typical Italian dish
36938,soup,primarily liquid food
36939,broth,clear liquid (soup) preparation
36946,beef brisket,variation of cooking brisket
36949,gursan,Saudi Arabian dish
36952,coconut ice,type of confectionery
36953,bacem,Indonesian kind of dish and also the method to prepare it by adding coconut water and palm sugar to the ingredients
36954,acehnese cuisine,Wikimedia list article
36955,kljukusa,traditional Bosnian dish
36960,stuffed artichoke,artichoke dishes made by filling the flower
36961,badımcan çığırtması,eggplant and egg dish
36962,salçalı biftek,"beef or veal dish from the Turkish cuise, the steak is first fried, then covered with a tomato-based sauce and cooked either in the oven or in a pan"
36963,mahalepi,Cypriot dessert
36964,bouyiourdi,Greek dish of baked feta
36965,fasolakia,Greek green bean dish
36966,tonmtonm,Haitian dish
36967,paksiw,Filipino cooking process
36968,macaroni soup,soup containing macaroni pasta
36969,panfried pork or veal escalope,recipe for a panfried pork or veal escalope dish
36970,panfried cutlets of tender beef,recipe for dish with panfried cutlets of tender beef
36971,lëng viçi,recipe for a juicy beef dish
36972,bononoka,Malagasy food
36973,olan,Kerala dish
36975,khanom chin,Thai rice noodles
36978,hard boiled egg,boiled egg with solidified white and yolk
36980,hoppelpoppel,potato and egg casserole
36981,ampo snack,Indonesian snack made of soil
36982,cold sweet soup,cold dish mostly in summer times
36983,i̇negöl meatballs,"Turkish köfte variety from İnegöl, Bursa"
36985,acquasale,southern Italian dish
36986,fried rice noodles,food
36987,štruklji,traditional slovene dish
36991,blintz,traditional Jewish filled pancake
36994,spaghetti,"long, thin, solid, cylindrical pasta"
36999,khong bah png,traditional Taiwanese pork dish
37003,sweet and sour spare ribs,Chinese meat dish
37005,sago soup,Cantonese dessert soup
37007,duck rice,Duck dish
37008,lardy cake,English form of sweet spiced bread
37012,sand tuna,tuna recipe from Alicante
37013,angu,Brazilian food item
37015,balichão,"sauce or paste made from krill, bay leaves, chili, clove, lime, peppercorn, and fortified wine, used in Macanese cuisine"
37025,yakimono,Japanese grilled or pan-fried dish
37026,teppanyaki,dish
37027,monjayaki,Japanese savory pancake
37028,okonomiyaki,Japanese savory pancake
37029,tonpeiyaki,dish of Osaka
37032,negiyaki,scallion pancake
37035,issen yōshoku,Japanese crepe-like dish with Worcestershire sauce and chopped scallion
37039,yakitori,Japanese type of skewered chicken
37040,teriyaki,Japanese marinade
37041,kabayaki,Japanese eel dish
37042,takoyaki,ball-shaped Japanese snack with octopus
37043,yakiniku,Japanese term meaning grilled meat
37044,yakiton,pork dish
37046,kushiyaki,"poultry and non-poultry items, skewered and grilled, in Japanese cuisine"
37047,kushikatsu,Japanese food
37048,goheimochi,Japanese regional cuisine
37051,eggplant papoutsaki,an eggplant dish from the Turkish cuisine
37052,disanxian,Chinese dish
37053,lowa khatsa,Tibetan fried animal lung
37054,hornado,whole roast pig from Ecuadorian cuisine
37055,maboké,dish in Central African Republic
37057,salbut,Tortilla dish from the Yucatán peninsula
37058,pârjoale,Romanian and Moldovan meatballs
37059,duck à lorange,French duck dish
37060,mami soup,type of noodle soup
37061,imqaret,Maltese date pastry
37062,lung fung soup,"soup made with snake, chicken, and vegetables"
37063,garlic chives pocket,type of Chinese savory pocket pie
37074,sio chiu le,Batillaria zonalis cuisine in Taiwan
37076,bubur ayam,Indonesian porridge
37077,noodle with tomato egg sauce,noodles with tomato egg sauce
37079,sweet potato fries,dish
37080,kenpi,Japanese Potato chips
37081,daigaku imo,Japanese fried and candied sweet potatoes
37083,katogo,Ugandan breakfast dish
37084,juanfen,type of flat rice noodle in China
37087,tempura ramen,ramen topped with tempura
37089,pilav,"Turkish style rice, bulgur or pasta dish"
37090,milk pilaf,Turkish pilav (pilaf)  variety with milk
37091,mücendra pilavı,dish from the Turkish Cypriot cuisine
37092,bulgur pilav,Turkish cuisine dish made with bulgur
37093,balık ekmek,fried or grilled fish in a bread loaf
37095,mugoyo,a traditional main course dish in Uganda
37096,whole stuffed camel,fictional dish
37097,eggplant caviar,Paste made from eggplant / aubergine / brinjal
37098,babi panggang karo,"roasted pork dish from Karo, North Sumatra"
37099,barongko pisang,"Makassar traditional dish of banana mixed with sugar, eggs and coconut milk"
37101,ashlan fu,Dungan dish
37106,breaded mushrooms,Irish dish
37109,malsouka,North African dough sheets
37110,arroz junto,Puerto Rican rice dish
37111,moon shrimp cake,Taiwanese dish
37113,walnut pastry,Hong Kong food
37114,aranese cream,type of dessert dish
37117,pataqueta,Spanish bread
37118,popcake,cake on a stick similar to a lollipop
37121,papiong,"traditional cuisine from Toraja, Indonesia"
37122,matang satay,types of mutton or beef satay from Aceh
37123,ayam cincane,"a typical dish from Samarinda, East Kalimantan"
37124,meuseukat,dodol-like cake found in Acehnese cuisine
37125,kabak kalye,"light dish of spring courgettes, from the Turkish cuisine"
37126,tutti frutti,mixture of dried fruits
37128,rondón,"Afro-Caribbean dish present in Latin American Cuisine, made of seafood, coconut milk and vegetables"
37142,utica greens,Italian-American escarole dish
37145,brunsli,Swiss christmas cookie
37146,buğu kebabı,lamb stew from the Turkish cuisine
37148,pumpkin flower fritter,dish
37151,red red,Ghanaian dish made of black eyed peas cooked in palm oil.
37152,dikgobe,dish of samp and beans
37153,ziva,Israeli dish
37155,black peas,traditional Lancashire dish
37159,slinger,Midwestern diner specialty
37160,rakott krumpli,Hungarian potato casserole
37161,millopita,Pork-fat pie
37162,apohtin,Traditional Cypriot meat dish
37163,pishes,traditional Cypriot savoury
37164,muhammar,traditional dish from Bahrain
